net,length_um
_10774_,936.22
_10795_,879.54
_13278_,829.125
_13290_,801.455
_07644_,765.495
_10894_,757.32
net6,757.16
_10942_,738.075
_13319_,737.79
_13272_,719.3
_10899_,706.96
_10817_,699.39
_13340_,685.455
_13285_,680.305
net4,674.3
_10892_,669.84
_11002_,668.45
_11539_,664.79
_05957_,658.55
_07656_,655.02
_07614_,654.625
_05304_,653.06
net5,651.71
_10754_,642.195
_13402_,639.435
_07604_,630
_12812_,623.34
_09983_,623.095
_10902_,621.84
_13268_,620.045
clknet_5_9__leaf_clk,619.96
_10766_,618.21
clknet_5_8__leaf_clk,609.61
_07638_,606.91
_07485_,606.02
clknet_5_13__leaf_clk,598.06
_10779_,594.715
_11555_,583.53
_07301_,582.89
_10971_,579.35
_07496_,578.07
_10887_,573.68
clknet_5_30__leaf_clk,568.43
_13324_,564.86
_11573_,562.68
_13398_,562.35
_04790_,559.33
_04801_,556.17
_08993_,555.5
_04802_,555.23
_08064_,554.34
_05976_,552.65
_07463_,549.28
_09045_,546.62
_07575_,546.525
_09188_,546.16
_05856_,540.815
_12834_,539.2
clk,534.75
_12921_,533.77
_13323_,533
clknet_5_5__leaf_clk,532.59
_13262_,530.96
_12805_,530.9
_08190_,529.475
_12765_,528.81
_09994_,525.32
clknet_0_clk,524.06
_13003_,522.7
clknet_5_28__leaf_clk,522.56
clknet_5_11__leaf_clk,519.5
_07219_,518.91
_07274_,518.76
_07241_,515.9
_13455_,514.68
_04426_,511.8
_07477_,511.29
_09996_,510.68
clknet_5_14__leaf_clk,509.45
_07579_,508.76
_09979_,507.58
_10631_,506.8
clknet_5_17__leaf_clk,505.47
_07641_,502.115
_13389_,501.73
clknet_5_4__leaf_clk,500.26
_04621_,498.62
u_cpu.latched_rd\[4\],498.47
_11565_,497.78
_05857_,495.95
_13313_,494.35
_10813_,493.83
_13273_,493.685
_13452_,492
_10005_,491.7
_07013_,490.18
_11545_,487.05
_05774_,485.74
_05829_,485.075
_12525_,483.97
_07487_,482.305
_07588_,482.25
_07603_,481.3
_07623_,480.81
_12906_,480.625
_04550_,480.02
_12893_,479.04
_10012_,477.22
_08997_,475.885
_11931_,475.615
_12702_,474.69
_08332_,473.98
_11592_,472.31
clknet_5_12__leaf_clk,471.44
_12759_,471.04
_07514_,469.81
clknet_5_27__leaf_clk,469.545
_00004_,469.45
_11569_,468.89
_07608_,467.535
_07717_,467.49
clknet_2_2_0_clk,467.12
_12727_,466.9
_12821_,466.065
_08296_,465.415
_11575_,463.51
_05782_,463.09
_07578_,462.98
_07607_,462.35
_13244_,461.05
clknet_5_10__leaf_clk,460.855
u_cpu.latched_rd\[2\],460.68
_04430_,460.235
_06337_,458.86
_13301_,458.39
_13392_,457.47
u_cpu.latched_rd\[3\],456.36
u_cpu.latched_rd\[1\],456.15
_07640_,455.64
_13259_,455.5
_13621_,454.49
_12826_,453.78
_07580_,452.675
_08410_,452.56
clknet_5_18__leaf_clk,451.72
_13315_,450.29
clknet_5_16__leaf_clk,449.64
_10623_,449.095
clknet_5_25__leaf_clk,449.085
_00009_,447.9
clknet_5_29__leaf_clk,447.09
_13279_,446.1
u_cpu.latched_rd\[0\],446.02
_07921_,443.85
_11563_,443.6
_07272_,443.38
_11536_,441.825
_11543_,441.27
_11580_,441.02
_10618_,440.25
_07276_,439.83
_07284_,439.36
_04690_,439
_10018_,438.49
_10620_,438.38
clknet_2_1_0_clk,437.97
_08055_,437.61
_04720_,437.08
clknet_5_15__leaf_clk,437.03
_07250_,435.38
_10633_,433.86
_13256_,432.53
_12723_,431.775
_13248_,431.5
_07624_,429.4
_11590_,428.34
_13249_,427.5
_12755_,426.68
_00006_,426.15
_07233_,423.09
clknet_2_3_0_clk,422.79
_14030_,422.74
_13464_,422.62
clknet_2_0_0_clk,422.33
_08147_,422.25
_07800_,421.06
_12455_,420.695
_07598_,419.1
_07257_,418.61
_07646_,418.53
_08312_,418.52
_06961_,418.38
_13232_,417.91
_11577_,417.02
_10002_,414.48
_11713_,414.09
_07469_,413.74
_10859_,413.16
_11716_,412.44
_12682_,412.24
clknet_5_0__leaf_clk,411.2
_06878_,410
_10855_,409.23
_11362_,408.92
clknet_5_1__leaf_clk,407.81
_13264_,406.84
_12771_,406.63
_07358_,405.98
_08298_,404.97
_11946_,404.92
_08290_,404.87
clknet_5_24__leaf_clk,404.67
_04684_,403.82
_08075_,403.47
_14186_,402.58
_07843_,401.84
_10778_,399.575
_12923_,399.56
_10811_,399.42
_06272_,399.31
_14120_,399.21
_08382_,399.17
_09124_,398.4
_07570_,398.16
_07020_,398.08
_13487_,397.73
_12748_,396.17
_11551_,395.24
_08364_,394.735
_12820_,394.025
_10849_,393.66
_11935_,392.48
_07628_,392.25
_13352_,392.2
_07262_,392.01
_08384_,391.56
_13291_,390.68
_13982_,390.565
_12542_,390.29
_12770_,390.13
_11933_,389.66
_12741_,389.46
_13320_,389.305
_08995_,388.935
_07475_,388.34
_13981_,388.155
_12733_,388.06
_12306_,388.05
clknet_5_6__leaf_clk,387.36
_07476_,387.155
_11352_,386.65
_13448_,386.465
_08116_,386.32
_06249_,386.025
_13346_,385.86
_09990_,385.74
_00007_,384.89
_11080_,384.75
_12541_,384.39
_08294_,384.16
_09190_,383.57
_13980_,382.67
_07182_,382.57
clknet_5_19__leaf_clk,382.57
_13475_,382.31
_13311_,382.1
_07224_,382
_05841_,381.7
_07605_,381.605
_07243_,381.38
_13401_,381.32
_10822_,381.28
_13338_,381.06
_08164_,380.94
_12807_,380.7
_08149_,379.56
_13365_,379.46
_11541_,378.8
_06068_,377.55
_13983_,377.02
_13293_,376.485
_07651_,376.24
clknet_5_7__leaf_clk,375.18
_10479_,375.085
_14251_,374.78
_07285_,374.69
_08018_,374.48
_11561_,373.255
_13306_,373.2
_06335_,373.12
_11949_,371.89
_12709_,371.85
_04626_,371.74
_11557_,371.07
_06254_,370.785
_08462_,370.45
clknet_5_26__leaf_clk,370.36
_11584_,370.08
_11951_,369.55
_11567_,369.47
_08141_,369.46
_12725_,369.41
_13231_,368.74
_12703_,368.2
_08070_,367.79
_13298_,367.69
_13986_,367.295
_13371_,367.2
_07599_,366.22
_08289_,365.78
_11549_,365.46
_13332_,365.33
_06289_,365.1
_08079_,364.805
_14315_,364.3
clknet_5_3__leaf_clk,364.15
_13289_,364
_08401_,363.31
_10821_,362.74
_13300_,362.5
_13269_,362.33
_13263_,362.195
_13267_,361.955
_13239_,361.815
